query,lat,lon,lat_min,lat_max,lon_min,lon_max
"Austin, TX",30.2711286,-97.7436995,30.0984576,30.5166255,-97.9367663,-97.5605288
"Denver, CO",39.7392364,-104.9848623,39.6143154,39.9142087,-105.1098845,-104.5996889
"Colorado Springs, CO",38.8339578,-104.8253485,38.7154517,39.0351247,-104.9170862,-104.5999135
"Fayetteville, AR",36.0625843,-94.1574328,35.9893558,36.1489329,-94.2978481,-94.0267113
"Des Moines, IA",41.5910641,-93.6037149,41.4796389,41.6589106,-93.7091786,-93.4936911
"Minneapolis-St. Paul, MN",-93.26822,44.97067,-93.32916,44.89015,-93.19386,45.05125
"San Francisco, CA",45.4754429,-75.6989462845435,45.4752908,45.4755698,-75.6991019,-75.6988777
"Portland, OR",45.5202471,-122.6741949,45.432536,45.6528812,-122.8367489,-122.4720252
"Seattle, WA",47.6038321,-122.3300624,47.4810022,47.7341357,-122.459696,-122.224433
"Raleigh & Durham, NC",35.7803977,-78.6390989,35.70825,35.9709504,-78.8190461,-78.471053
"Huntsville, AL",34.729847,-86.5859011,34.537651,34.8653094,-86.9056655,-86.413795
"Madison, WI",43.074761,-89.3837613,42.998164,43.171916,-89.566844,-89.246813
"Grand Rapids, MI",42.9632405,-85.6678639,42.883648,43.0290471,-85.751532,-85.568646
"San Jose, CA",37.3361905,-121.8905833,37.124503,37.4692175,-122.045672,-121.589153
"Nashville, TN",36.1622296,-86.7743531,35.967785,36.405496,-87.054766,-86.515588
"Asheville, NC",35.6009498,-82.5540161,35.4164662,35.6561213,-82.671024,-82.459938
"Boise, ID",43.6166163,-116.200886,43.4566163,43.7766163,-116.360886,-116.040886
"Sarasota, FL",27.3364347,-82.5306527,27.2931077,27.3891533,-82.5889096,-82.4787116
"Washington, D.C., DC",38.8948932,-77.0365529,38.7348932,39.0548932,-77.1965529,-76.8765529
"Charlotte, NC",35.2270869,-80.8431268,35.013174,35.393133,-81.009554,-80.670104
"Dallas-Fort Worth, TX",32.7337225,-97.3609707,32.7337225,32.7339165,-97.3609707,-97.3604237
"Greenville, SC",34.851354,-82.3984882,34.7757944,34.890838,-82.4346428,-82.2910107
"Portland, ME",29.0654341,-110.9716788,29.0653309,29.0658838,-110.9717004,-110.9716679
"Salt Lake City, UT",40.7670126,-111.8904308,40.6999263,40.8533905,-112.1013916,-111.7404843
"Melbourne, FL",28.0836269,-80.6081089,28.0350152,28.200533,-80.7482559,-80.5749441
"Phoenix, AZ",33.4485866,-112.0773456,33.2903739,33.9183794,-112.3240289,-111.9255201
"Boston, MA",42.3602534,-71.0582912,42.2279112,42.3969775,-71.1912491,-70.8044881
"Albany, NY",42.6511674,-73.754968,42.61379,42.722379,-73.898099,-73.723263
"Lexington-Fayette, KY",38.0464066,-84.4970393,37.8864066,38.2064066,-84.6570393,-84.3370393
"Houston, TX",29.7589382,-95.3676974,29.5370705,30.1103506,-95.9097419,-95.0120525
"Winston-Salem, NC",36.0998131,-80.2440518,35.996552,36.21816,-80.385947,-80.100969
"Omaha, NE",41.2587459,-95.9383758,41.1905882,41.3930618,-96.2682,-95.871141
"Reno, NV",39.52927,-119.8136744,39.392426,39.723436,-120.0023728,-119.699345
"San Antonio, TX",29.4246002,-98.4951405,29.1862572,29.7309623,-98.8131865,-98.2230029
"Fort Myers, FL",26.640628,-81.8723084,26.5481294,26.689176,-81.9126085,-81.7511414
"San Diego, CA",32.7174209,-117.1627714,32.5347839,33.114249,-117.3098053,-116.9057226
"Pensacola, FL",30.421309,-87.2169149,30.3955428,30.5104858,-87.2588885,-87.1497213
"Indianapolis, IN",39.7683331,-86.1583502,39.6083331,39.9283331,-86.3183502,-85.9983502
"Cincinnati, OH",39.1014537,-84.5124602,39.0520565,39.2210368,-84.71239,-84.3687784
"Fort Wayne, IN",41.0799898,-85.1386015,40.965447,41.2005181,-85.3034035,-85.0007277
"Lansing, MI",42.7337712,-84.5553805,42.647483,42.7949754,-84.701284,-84.417581
"Jacksonville, FL",30.3321838,-81.655651,30.103748,30.586197,-82.049502,-81.316712
"Manchester, NH",42.9956397,-71.4547891,42.890351,43.051483,-71.5132028,-71.3754311
"Harrisburg, PA",40.2663107,-76.8861122,40.237571,40.326716,-76.92449,-76.836394
"Charleston, SC",32.7876012,-79.9402728,32.668505,32.973515,-80.1438459,-79.797064
"Knoxville, TN",35.9603948,-83.9210261,35.849497,36.067428,-84.161625,-83.688543
"Hartford, CT",41.764582,-72.6908547,41.7236703,41.8074191,-72.7180372,-72.6422873
"Lancaster, PA",40.03813,-76.3056686,40.00691,40.0730345,-76.3465478,-76.2540919
"Kansas City, MO",39.100105,-94.5781416,38.827176,39.356662,-94.765917,-94.385522
"Pittsburgh, PA",40.4416941,-79.9900861,40.36152,40.5012021,-80.095517,-79.865728
"Columbus, OH",39.9622601,-83.0007065,39.8086936,40.157272,-83.2101797,-82.7713119
"Buffalo, NY",42.8867166,-78.8783922,42.8260387,42.9664686,-78.9194528,-78.7951677
"Richmond, VA",37.5385087,-77.43428,37.3785087,37.6985087,-77.59428,-77.27428
"Syracuse, NY",43.0481221,-76.1474244,42.9843709,43.086102,-76.2046029,-76.074084
"Chattanooga, TN",35.0456297,-85.3096801,34.9829822,35.214346,-85.4255628,-85.051587
"Tampa, FL",27.9477595,-82.458444,27.8212598,28.1713602,-82.5864954,-82.2538678
"Atlanta, GA",33.7490987,-84.3901849,33.647808,33.886823,-84.551068,-84.28956
"Rochester, NY",43.157285,-77.615214,43.1033023,43.2676254,-77.7016324,-77.5311657
"Lakeland, FL",28.0394654,-81.9498042,27.9526701,28.171967,-82.0559819,-81.8388027
"Honolulu, HI",21.304547,-157.8556764,21.2548159,21.4021936,-157.9535818,-157.6486277
"Milwaukee, WI",43.0349931,-87.922497,42.9208206,43.1949435,-88.0710618,-87.8629671
"Worcester, MA",42.2625932,-71.8022934,42.2100537,42.3412276,-71.8839623,-71.7312109
"Orlando, FL",28.5421097,-81.3790388,28.3480634,28.614283,-81.5075377,-81.2275862
"Louisville, KY",38.2542376,-85.759407,37.9971,38.3801391,-85.9470644,-85.4051
"Spokane, WA",47.6579425,-117.4212265,47.5867785,47.7587975,-117.6039994,-117.3038581
"Greensboro, NC",36.0726355,-79.7919754,35.985195,36.215324,-80.006891,-79.6593369
"Columbia, SC",34.0007493,-81.0343313,33.943248,34.131597,-81.170978,-80.70394
"Oklahoma City, OK",35.4729886,-97.5170536,35.290695,35.674752,-97.833675,-97.124718
"Dayton, OH",39.7589478,-84.1916069,39.70185,39.920823,-84.311377,-84.092938
